trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.46719548107948083, 'e': 0.9343909621589617}",20,7,-45.00433734025446,"{0: 5, 1: 5, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.46664917928397687, 'e': 0.9332983585679537}",30,2,-67.22756546079475,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 0}",1
118,False,"{'a': 0.4660988552558324, 'e': 0.9321977105116648}",25,0,-123.85851566709943,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
119,False,"{'a': 0.465544524738497, 'e': 0.931089049476994}",20,6,-99.07617024653308,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
120,False,"{'a': 0.46498620357689874, 'e': 0.9299724071537975}",20,0,-62.7891057079915,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.46442390771668984, 'e': 0.9288478154333797}",30,0,-100.14364643092009,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
122,False,"{'a': 0.4638576532034886, 'e': 0.9277153064069772}",25,0,-132.3020222994362,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
123,False,"{'a': 0.46328745618211714, 'e': 0.9265749123642343}",20,10,-27.768914501401788,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
124,False,"{'a': 0.46271333289583494, 'e': 0.9254266657916699}",20,0,-96.47107575784709,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
125,False,"{'a': 0.4621352996855685, 'e': 0.924270599371137}",30,0,-94.75437110725665,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
126,False,"{'a': 0.461553372989137, 'e': 0.923106745978274}",25,0,-68.61716459181427,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
127,False,"{'a': 0.4609675693404745, 'e': 0.921935138680949}",20,0,-158.6180540778894,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
128,False,"{'a': 0.46037790536884765, 'e': 0.9207558107376953}",20,10,-7.58089642370182,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.45978439779806995, 'e': 0.9195687955961399}",20,0,-56.3832573896175,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
